xi,v2_xi,absF,reF,imF
157,0,4.982461734693858e-06,-4.8386636960385505e-06,1.1883848595160906e-06
158,1,4.982461734693858e-06,-4.836835044288835e-06,1.1958058755617252e-06
159,0,4.982461734693858e-06,-4.834995010999041e-06,1.2032240777606245e-06
160,5,4.982461734693587e-06,-4.8331436004986815e-06,1.2106394486569758e-06
161,0,4.982461734693857e-06,-4.831280817145092e-06,1.2180519708018932e-06
162,1,4.982461734693857e-06,-4.829406665320793e-06,1.2254616267527979e-06
163,0,4.982461734693858e-06,-4.82752114943611e-06,1.2328683990741202e-06
164,2,4.982461734693858e-06,-4.825624273927841e-06,1.240272270337009e-06
165,0,4.982461734693858e-06,-4.823716043259519e-06,1.2476732231194404e-06
166,1,4.982461734693857e-06,-4.821796461921394e-06,1.2550712400062574e-06
167,0,4.982461734693858e-06,-4.819865534430428e-06,1.2624663035892112e-06
168,3,4.982461734693803e-06,-4.817923265330225e-06,1.2698583964669896e-06
169,0,4.982461734693857e-06,-4.815969659191292e-06,1.2772475012453256e-06
170,1,4.982461734693856e-06,-4.814004720610493e-06,1.2846336005368995e-06
171,0,4.982461734693856e-06,-4.812028454211573e-06,1.292016676961521e-06
172,2,4.982461734693855e-06,-4.8100408646448755e-06,1.2993967131460976e-06
173,0,4.982461734693855e-06,-4.8080419565873925e-06,1.3067736917246916e-06
174,1,4.982461734693855e-06,-4.8060317347427475e-06,1.3141475953385595e-06
175,0,4.982461734693856e-06,-4.804010203841187e-06,1.321518406636194e-06
